,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
43,M4M,East Toronto,Studio District,43.6595255,-79.340923,1.0,Coffee Shop,Bakery,Brewery,Gastropub,Café,American Restaurant,Yoga Studio,Comfort Food Restaurant,Seafood Restaurant,Cheese Shop
44,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,1.0,Park,Dim Sum Restaurant,Bus Line,Swim School,Dog Run,Diner,Discount Store,Distribution Center,Doner Restaurant,Falafel Restaurant
45,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,1.0,Food & Drink Shop,Park,Pizza Place,Breakfast Spot,Sandwich Place,Hotel,Department Store,Women's Store,Dim Sum Restaurant,Diner
46,M4R,Central Toronto,"North Toronto West, Lawrence Park",43.7153834,-79.40567840000001,1.0,Sporting Goods Shop,Coffee Shop,Clothing Store,Yoga Studio,Chinese Restaurant,Spa,Fast Food Restaurant,Diner,Salon / Barbershop,Mexican Restaurant
47,M4S,Central Toronto,Davisville,43.7043244,-79.3887901,1.0,Dessert Shop,Sandwich Place,Pizza Place,Café,Sushi Restaurant,Gym,Italian Restaurant,Coffee Shop,Seafood Restaurant,Thai Restaurant
48,M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000002,0.0,Park,Tennis Court,Trail,Deli / Bodega,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
49,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493,1.0,Coffee Shop,Light Rail Station,American Restaurant,Bagel Shop,Supermarket,Bank,Fried Chicken Joint,Pub,Restaurant,Sushi Restaurant
50,M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001,0.0,Park,Trail,Playground,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run
51,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753,1.0,Coffee Shop,Restaurant,Bakery,Italian Restaurant,Café,Pub,Pizza Place,Pharmacy,Yoga Studio,Pet Store
52,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000002,1.0,Coffee Shop,Japanese Restaurant,Sushi Restaurant,Fast Food Restaurant,Restaurant,Gay Bar,Yoga Studio,Café,Pub,Hotel
53,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,1.0,Coffee Shop,Park,Café,Bakery,Theater,Breakfast Spot,Pub,Performing Arts Venue,Beer Store,Shoe Store
54,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999,1.0,Coffee Shop,Clothing Store,Hotel,Bubble Tea Shop,Middle Eastern Restaurant,Café,Japanese Restaurant,Cosmetics Shop,Diner,Theater
55,M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,1.0,Coffee Shop,Café,Gastropub,Cocktail Bar,American Restaurant,Lingerie Store,Italian Restaurant,Restaurant,Cheese Shop,Department Store
56,M5E,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,1.0,Coffee Shop,Cocktail Bar,Bakery,Restaurant,Beer Bar,Farmers Market,Seafood Restaurant,Cheese Shop,Concert Hall,Shopping Mall
57,M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,1.0,Coffee Shop,Café,Sandwich Place,Italian Restaurant,Thai Restaurant,Salad Place,Burger Joint,Bubble Tea Shop,Japanese Restaurant,Falafel Restaurant
58,M5H,Downtown Toronto,"Richmond, Adelaide, King",43.65057120000001,-79.3845675,1.0,Coffee Shop,Café,Restaurant,Gym,Hotel,Deli / Bodega,Clothing Store,Thai Restaurant,Concert Hall,Bakery
59,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999997,1.0,Coffee Shop,Aquarium,Hotel,Café,Italian Restaurant,Restaurant,Brewery,Fried Chicken Joint,Scenic Lookout,Park
60,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001,1.0,Coffee Shop,Hotel,Café,Salad Place,American Restaurant,Restaurant,Seafood Restaurant,Italian Restaurant,Japanese Restaurant,Breakfast Spot
61,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000002,1.0,Coffee Shop,Restaurant,Café,Hotel,Gym,American Restaurant,Italian Restaurant,Deli / Bodega,Seafood Restaurant,Japanese Restaurant
62,M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,1.0,Coffee Shop,Italian Restaurant,Sandwich Place,Pizza Place,Butcher,Café,Restaurant,Sushi Restaurant,Pub,Liquor Store
63,M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999,1.0,Ice Cream Shop,Garden,Home Service,Department Store,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
64,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6969476,-79.41130720000002,1.0,Trail,Park,Bus Line,Sushi Restaurant,Jewelry Store,Women's Store,Diner,Discount Store,Distribution Center,Dog Run
65,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001,1.0,Café,Sandwich Place,Coffee Shop,BBQ Joint,History Museum,Middle Eastern Restaurant,Liquor Store,Pub,Burger Joint,Indian Restaurant
66,M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493,1.0,Café,Bakery,Bookstore,Bar,Italian Restaurant,Japanese Restaurant,Bank,Beer Bar,Beer Store,Nightclub
67,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,1.0,Café,Coffee Shop,Mexican Restaurant,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Arts & Crafts Store,Gaming Cafe,Farmers Market,Grocery Store,Caribbean Restaurant
68,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,1.0,Airport Service,Airport Terminal,Airport Lounge,Boat or Ferry,Plane,Coffee Shop,Harbor / Marina,Sculpture Garden,Airport Gate,Airport Food Court
69,M5W,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.37484599999998,1.0,Coffee Shop,Hotel,Japanese Restaurant,Italian Restaurant,Cocktail Bar,Beer Bar,Restaurant,Café,Seafood Restaurant,Lounge
70,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,1.0,Coffee Shop,Café,Hotel,Restaurant,Gym,Japanese Restaurant,Asian Restaurant,Seafood Restaurant,Steakhouse,American Restaurant
71,M6A,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.46476329999999,1.0,Clothing Store,Women's Store,Coffee Shop,Boutique,Furniture / Home Store,Event Space,Vietnamese Restaurant,Accessories Store,Concert Hall,Ethiopian Restaurant
72,M6B,North York,Glencairn,43.709577,-79.44507259999997,1.0,Asian Restaurant,Bakery,Pub,Japanese Restaurant,Women's Store,Dim Sum Restaurant,Discount Store,Distribution Center,Dog Run,Doner Restaurant
73,M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002,0.0,Park,Field,Trail,Hockey Arena,Escape Room,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop,Department Store
74,M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512,0.0,Park,Pool,Women's Store,Greek Restaurant,Gourmet Shop,Escape Room,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop
75,M6G,Downtown Toronto,Christie,43.669542,-79.4225637,1.0,Grocery Store,Café,Park,Baby Store,Restaurant,Candy Store,Coffee Shop,Nightclub,Athletics & Sports,Italian Restaurant
76,M6H,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593,1.0,Bakery,Pharmacy,Café,Brewery,Park,Grocery Store,Middle Eastern Restaurant,Bar,Music Venue,Supermarket
77,M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,1.0,Bar,Coffee Shop,Restaurant,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Café,Asian Restaurant,Men's Store,New American Restaurant,Boutique
78,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002,1.0,Café,Coffee Shop,Breakfast Spot,Climbing Gym,Intersection,Stadium,Bar,Bakery,Burrito Place,Furniture / Home Store
79,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.71375620000001,-79.4900738,0.0,Park,Bakery,Construction & Landscaping,Women's Store,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
80,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999998,1.0,Convenience Store,Sandwich Place,Coffee Shop,Discount Store,Donut Shop,Diner,Distribution Center,Dog Run,Doner Restaurant,Women's Store
81,M6N,York,"Runnymede, The Junction North",43.67318529999999,-79.48726190000002,1.0,Grocery Store,Bus Line,Breakfast Spot,Women's Store,Donut Shop,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Eastern European Restaurant
82,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999,1.0,Thai Restaurant,Mexican Restaurant,Café,Grocery Store,Bookstore,Bakery,Bar,Italian Restaurant,Flea Market,Speakeasy
83,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,1.0,Breakfast Spot,Gift Shop,Bookstore,Cuban Restaurant,Dessert Shop,Restaurant,Bar,Dog Run,Movie Theater,Italian Restaurant
84,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,1.0,Coffee Shop,Café,Italian Restaurant,Pizza Place,Pub,Sushi Restaurant,Falafel Restaurant,Smoothie Shop,Burrito Place,Diner
85,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,1.0,Coffee Shop,Sushi Restaurant,Bank,Bar,Beer Bar,Smoothie Shop,Sandwich Place,Burrito Place,Café,Portuguese Restaurant
86,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999,1.0,Coffee Shop,Hotel,Gym,American Restaurant,Intersection,Middle Eastern Restaurant,Gas Station,Sandwich Place,Fried Chicken Joint,Burrito Place
87,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558,1.0,Light Rail Station,Garden Center,Park,Comic Shop,Pizza Place,Restaurant,Burrito Place,Brewery,Skate Park,Farmers Market
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.50132070000002,1.0,Café,Gym,American Restaurant,Seafood Restaurant,Fast Food Restaurant,Mexican Restaurant,Flower Shop,Bakery,Restaurant,Fried Chicken Joint
89,M8W,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999,1.0,Pizza Place,Coffee Shop,Gym,Skating Rink,Sandwich Place,Pub,Distribution Center,Dessert Shop,Dim Sum Restaurant,Diner
90,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.65365360000001,-79.5069436,0.0,Park,River,Pool,Distribution Center,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run
91,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.49850909999998,1.0,Baseball Field,Deli / Bodega,Women's Store,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dim Sum Restaurant
92,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.52099940000002,1.0,Gym,Convenience Store,Supplement Shop,Tanning Salon,Burrito Place,Burger Joint,Sandwich Place,Discount Store,Bakery,Hardware Store
95,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999,1.0,Beer Store,Pharmacy,Liquor Store,Shopping Plaza,Coffee Shop,Pizza Place,Café,Pet Store,Park,Drugstore
96,M9L,North York,Humber Summit,43.7563033,-79.56596329999998,1.0,Furniture / Home Store,Intersection,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop,Farmers Market
97,M9M,North York,"Humberlea, Emery",43.7247659,-79.53224240000002,1.0,Paper / Office Supplies Store,Baseball Field,Women's Store,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
98,M9N,York,Weston,43.706876,-79.51818840000001,3.0,Jewelry Store,Women's Store,Dessert Shop,Event Space,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Drugstore,Donut Shop
99,M9P,Etobicoke,Westmount,43.696319,-79.53224240000002,1.0,Pizza Place,Chinese Restaurant,Intersection,Coffee Shop,Sandwich Place,Middle Eastern Restaurant,Discount Store,Women's Store,Diner,Distribution Center
100,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.55472440000001,1.0,Park,Mobile Phone Shop,Bus Line,Sandwich Place,Distribution Center,Dim Sum Restaurant,Diner,Discount Store,Dog Run,College Rec Center
101,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7394164,-79.5884369,1.0,Grocery Store,Pizza Place,Pharmacy,Fast Food Restaurant,Beer Store,Sandwich Place,Fried Chicken Joint,Distribution Center,Dessert Shop,Dim Sum Restaurant
102,M9W,Etobicoke,"Northwest, West Humber - Clairville",43.7067483,-79.5940544,1.0,Bar,Rental Car Location,Garden Center,Drugstore,Truck Stop,Women's Store,Dim Sum Restaurant,Diner,Discount Store,Distribution Center
